id,university_id,major_name,degree_type
153,UW-Madison,Mathematics,BS
154,UW-Madison,Mechanical Engineering,BS
155,UW-Madison,Microbiology (CALS),BS
156,UW-Madison,Microbiology (L&S),BA
157,UW-Madison,Microbiology (L&S),BS
158,UW-Madison,Molecular and Cell Biology,BA
159,UW-Madison,Molecular and Cell Biology,BS
160,UW-Madison,Music,BA
161,UW-Madison,Music,BS
162,UW-Madison,"Music: Education, B.M.",BM
163,UW-Madison,"Music: Performance, B.M.",BM
164,UW-Madison,"Naval Science, BNS",BNS
165,UW-Madison,Neurobiology,BA
166,UW-Madison,Neurobiology,BS
167,UW-Madison,Nuclear Engineering,BS
168,UW-Madison,"Nursing, BSN",BSN
169,UW-Madison,"Nursing, BSN (Accelerated)",BSN
170,UW-Madison,"Nursing, BSN (Accelerated)",BSN
171,UW-Madison,Nutritional Sciences,BS
172,UW-Madison,"Nutritional Sciences, Nutrition, and Dietetics",BS
173,UW-Madison,Personal Finance,BS
174,UW-Madison,Pharmaceutical Sciences,BS
175,UW-Madison,Pharmacology and Toxicology,BS
176,UW-Madison,Philosophy,BA
177,UW-Madison,Philosophy,BS
178,UW-Madison,Physical Education,BS
179,UW-Madison,Physics,BA
180,UW-Madison,Physics,BS
181,UW-Madison,Plant Pathology,BS
182,UW-Madison,Plant Science and Technology,BS
183,UW-Madison,Polish,BA
184,UW-Madison,Polish,BS
185,UW-Madison,Political Science,BA
186,UW-Madison,Political Science,BS
187,UW-Madison,Portuguese,BA
188,UW-Madison,Portuguese,BS
189,UW-Madison,Psychology,BA
190,UW-Madison,Psychology,BS
191,UW-Madison,Rehabilitation Psychology,BS
192,UW-Madison,Religious Studies,BA
193,UW-Madison,Religious Studies,BS
194,UW-Madison,Russian,BA
195,UW-Madison,Russian,BS
196,UW-Madison,Scandinavian Studies,BA
197,UW-Madison,Scandinavian Studies,BS
198,UW-Madison,Social Welfare,BA
199,UW-Madison,Social Welfare,BS
200,UW-Madison,Social Work,BSW
201,UW-Madison,Sociology,BA
202,UW-Madison,Sociology,BS
203,UW-Madison,Soil Science,BS
204,UW-Madison,Spanish,BA
205,UW-Madison,Spanish,BS
206,UW-Madison,Special Education,BSE
207,UW-Madison,Statistics,BA
208,UW-Madison,Statistics,BS
209,UW-Madison,Textiles and Fashion Design,BS
210,UW-Madison,Theatre and Drama,BS
211,UW-Madison,Wildlife Ecology,BS
212,UW-Madison,Zoology,BA
213,UW-Madison,Zoology,BS
