Requirement Group,Requirement Name,Credits Min,Credits Max,Rule Notes,Constraints / Details
Bachelor of Science,Mathematics,6,,"Complete two courses of 3+ credits at the Intermediate or Advanced level in MATH, COMP SCI, or STAT subjects.",Maximum of one COMP SCI course and one STAT course may count toward this requirement.
Bachelor of Science,Language,,,Complete the third unit of a language other than English.,
Bachelor of Science,L&S Breadth,36,,"Complete L&S breadth distribution across Humanities, Social Science, and Natural Science.",Humanities: 12 credits (must include ≥6 credits of Literature). Social Science: 12 credits. Natural Science: 12 credits (must include 6 Biological Science + 6 Physical Science).
Bachelor of Science,Liberal Arts and Science Coursework,108,,Complete at least 108 credits of Liberal Arts and Science coursework.,
Bachelor of Science,Depth of Intermediate/Advanced Coursework,60,,Complete at least 60 credits at the Intermediate or Advanced level.,
Bachelor of Science,Major,,,Declare and complete at least one major.,
Bachelor of Science,Total Credits,120,,Complete at least 120 total credits.,
Bachelor of Science,UW–Madison Experience (Residence),30,,Complete residence requirements.,Complete both: (1) 30 credits in residence overall; and (2) 30 credits in residence after the 86th credit.
Bachelor of Science,Quality of Work (GPA),,,Meet minimum GPA requirements at UW–Madison.,Earn at least 2.000 GPA in (1) all coursework at UW–Madison; and (2) Intermediate/Advanced level coursework at UW–Madison.
